,id,budget,revenue,original_title,director,genres,release_date,release_year,budget_adj,revenue_adj
0,135397,150000000,1513528810,Jurassic World,Colin Trevorrow,Action,6/9/15,2015,137999939.280026,1392445892.5238
1,135397,150000000,1513528810,Jurassic World,Colin Trevorrow,Adventure,6/9/15,2015,137999939.280026,1392445892.5238
2,135397,150000000,1513528810,Jurassic World,Colin Trevorrow,Science Fiction,6/9/15,2015,137999939.280026,1392445892.5238
3,135397,150000000,1513528810,Jurassic World,Colin Trevorrow,Thriller,6/9/15,2015,137999939.280026,1392445892.5238
4,76341,150000000,378436354,Mad Max: Fury Road,George Miller,Action,5/13/15,2015,137999939.280026,348161292.489031
5,76341,150000000,378436354,Mad Max: Fury Road,George Miller,Adventure,5/13/15,2015,137999939.280026,348161292.489031
6,76341,150000000,378436354,Mad Max: Fury Road,George Miller,Science Fiction,5/13/15,2015,137999939.280026,348161292.489031
7,76341,150000000,378436354,Mad Max: Fury Road,George Miller,Thriller,5/13/15,2015,137999939.280026,348161292.489031
8,262500,110000000,295238201,Insurgent,Robert Schwentke,Adventure,3/18/15,2015,101199955.472019,271619025.407628
9,262500,110000000,295238201,Insurgent,Robert Schwentke,Science Fiction,3/18/15,2015,101199955.472019,271619025.407628
10,262500,110000000,295238201,Insurgent,Robert Schwentke,Thriller,3/18/15,2015,101199955.472019,271619025.407628
11,140607,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,Action,12/15/15,2015,183999919.040035,1902723129.80182
12,140607,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,Adventure,12/15/15,2015,183999919.040035,1902723129.80182
13,140607,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,Science Fiction,12/15/15,2015,183999919.040035,1902723129.80182
14,140607,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,Fantasy,12/15/15,2015,183999919.040035,1902723129.80182
15,168259,190000000,1506249360,Furious 7,James Wan,Action,4/1/15,2015,174799923.088033,1385748801.47052
16,168259,190000000,1506249360,Furious 7,James Wan,Crime,4/1/15,2015,174799923.088033,1385748801.47052
17,168259,190000000,1506249360,Furious 7,James Wan,Thriller,4/1/15,2015,174799923.088033,1385748801.47052
18,281957,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Western,12/25/15,2015,124199945.352024,490314247.021731
19,281957,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Drama,12/25/15,2015,124199945.352024,490314247.021731
20,281957,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Adventure,12/25/15,2015,124199945.352024,490314247.021731
21,281957,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Thriller,12/25/15,2015,124199945.352024,490314247.021731
22,87101,155000000,440603537,Terminator Genisys,Alan Taylor,Science Fiction,6/23/15,2015,142599937.256027,405355075.683766
23,87101,155000000,440603537,Terminator Genisys,Alan Taylor,Action,6/23/15,2015,142599937.256027,405355075.683766
24,87101,155000000,440603537,Terminator Genisys,Alan Taylor,Thriller,6/23/15,2015,142599937.256027,405355075.683766
25,87101,155000000,440603537,Terminator Genisys,Alan Taylor,Adventure,6/23/15,2015,142599937.256027,405355075.683766
26,286217,108000000,595380321,The Martian,Ridley Scott,Drama,9/30/15,2015,99359956.2816192,547749654.310152
27,286217,108000000,595380321,The Martian,Ridley Scott,Adventure,9/30/15,2015,99359956.2816192,547749654.310152
28,286217,108000000,595380321,The Martian,Ridley Scott,Science Fiction,9/30/15,2015,99359956.2816192,547749654.310152
29,211672,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,Family,6/17/15,2015,68079970.0448131,1064192016.79551
30,211672,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,Animation,6/17/15,2015,68079970.0448131,1064192016.79551
31,211672,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,Adventure,6/17/15,2015,68079970.0448131,1064192016.79551
32,211672,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,Comedy,6/17/15,2015,68079970.0448131,1064192016.79551
33,150540,175000000,853708609,Inside Out,Pete Docter,Comedy,6/9/15,2015,160999929.160031,785411574.698907
34,150540,175000000,853708609,Inside Out,Pete Docter,Animation,6/9/15,2015,160999929.160031,785411574.698907
35,150540,175000000,853708609,Inside Out,Pete Docter,Family,6/9/15,2015,160999929.160031,785411574.698907
36,206647,245000000,880674609,Spectre,Sam Mendes,Action,10/26/15,2015,225399900.824043,810220283.783075
37,206647,245000000,880674609,Spectre,Sam Mendes,Adventure,10/26/15,2015,225399900.824043,810220283.783075
38,206647,245000000,880674609,Spectre,Sam Mendes,Crime,10/26/15,2015,225399900.824043,810220283.783075
39,76757,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Science Fiction,2/4/15,2015,161919931.51523,169268630.681802
40,76757,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Fantasy,2/4/15,2015,161919931.51523,169268630.681802
41,76757,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Action,2/4/15,2015,161919931.51523,169268630.681802
42,76757,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Adventure,2/4/15,2015,161919931.51523,169268630.681802
43,264660,15000000,36869414,Ex Machina,Alex Garland,Drama,1/21/15,2015,13799993.9280026,33919845.9552677
44,264660,15000000,36869414,Ex Machina,Alex Garland,Science Fiction,1/21/15,2015,13799993.9280026,33919845.9552677
45,257344,88000000,243637091,Pixels,Chris Columbus,Action,7/16/15,2015,80959964.3776156,224146025.095748
46,257344,88000000,243637091,Pixels,Chris Columbus,Comedy,7/16/15,2015,80959964.3776156,224146025.095748
47,257344,88000000,243637091,Pixels,Chris Columbus,Science Fiction,7/16/15,2015,80959964.3776156,224146025.095748
48,99861,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,Action,4/22/15,2015,257599886.656049,1292632336.88177
49,99861,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,Adventure,4/22/15,2015,257599886.656049,1292632336.88177
50,99861,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,Science Fiction,4/22/15,2015,257599886.656049,1292632336.88177
51,273248,44000000,155760117,The Hateful Eight,Quentin Tarantino,Crime,12/25/15,2015,40479982.1888078,143299244.588332
52,273248,44000000,155760117,The Hateful Eight,Quentin Tarantino,Drama,12/25/15,2015,40479982.1888078,143299244.588332
53,273248,44000000,155760117,The Hateful Eight,Quentin Tarantino,Mystery,12/25/15,2015,40479982.1888078,143299244.588332
54,273248,44000000,155760117,The Hateful Eight,Quentin Tarantino,Western,12/25/15,2015,40479982.1888078,143299244.588332
55,260346,48000000,325771424,Taken 3,Olivier Megaton,Crime,1/1/15,2015,44159980.5696085,299709578.207785
56,260346,48000000,325771424,Taken 3,Olivier Megaton,Action,1/1/15,2015,44159980.5696085,299709578.207785
57,260346,48000000,325771424,Taken 3,Olivier Megaton,Thriller,1/1/15,2015,44159980.5696085,299709578.207785
58,102899,130000000,518602163,Ant-Man,Peyton Reed,Science Fiction,7/14/15,2015,119599947.376023,477113780.029936
59,102899,130000000,518602163,Ant-Man,Peyton Reed,Action,7/14/15,2015,119599947.376023,477113780.029936
60,102899,130000000,518602163,Ant-Man,Peyton Reed,Adventure,7/14/15,2015,119599947.376023,477113780.029936
61,131634,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,War,11/18/15,2015,147199935.232028,598481289.508232
62,131634,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Adventure,11/18/15,2015,147199935.232028,598481289.508232
63,131634,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Science Fiction,11/18/15,2015,147199935.232028,598481289.508232
64,158852,190000000,209035668,Tomorrowland,Brad Bird,Action,5/19/15,2015,174799923.088033,192312729.942398
65,158852,190000000,209035668,Tomorrowland,Brad Bird,Family,5/19/15,2015,174799923.088033,192312729.942398
66,158852,190000000,209035668,Tomorrowland,Brad Bird,Science Fiction,5/19/15,2015,174799923.088033,192312729.942398
67,158852,190000000,209035668,Tomorrowland,Brad Bird,Adventure,5/19/15,2015,174799923.088033,192312729.942398
68,158852,190000000,209035668,Tomorrowland,Brad Bird,Mystery,5/19/15,2015,174799923.088033,192312729.942398
69,254128,110000000,470490832,San Andreas,Brad Peyton,Action,5/27/15,2015,101199955.472019,432851374.985395
70,254128,110000000,470490832,San Andreas,Brad Peyton,Drama,5/27/15,2015,101199955.472019,432851374.985395
71,254128,110000000,470490832,San Andreas,Brad Peyton,Thriller,5/27/15,2015,101199955.472019,432851374.985395
72,216015,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,Drama,2/11/15,2015,36799983.8080071,524079119.045187
