,id,budget,revenue,original_title,director,production_companies,release_date,release_year,budget_adj,revenue_adj
0,135397,150000000,1513528810,Jurassic World,Colin Trevorrow,Universal Studios,6/9/15,2015,137999939.280026,1392445892.5238
1,135397,150000000,1513528810,Jurassic World,Colin Trevorrow,Amblin Entertainment,6/9/15,2015,137999939.280026,1392445892.5238
2,135397,150000000,1513528810,Jurassic World,Colin Trevorrow,Legendary Pictures,6/9/15,2015,137999939.280026,1392445892.5238
3,135397,150000000,1513528810,Jurassic World,Colin Trevorrow,Fuji Television Network,6/9/15,2015,137999939.280026,1392445892.5238
4,135397,150000000,1513528810,Jurassic World,Colin Trevorrow,Dentsu,6/9/15,2015,137999939.280026,1392445892.5238
5,76341,150000000,378436354,Mad Max: Fury Road,George Miller,Village Roadshow Pictures,5/13/15,2015,137999939.280026,348161292.489031
6,76341,150000000,378436354,Mad Max: Fury Road,George Miller,Kennedy Miller Productions,5/13/15,2015,137999939.280026,348161292.489031
7,262500,110000000,295238201,Insurgent,Robert Schwentke,Summit Entertainment,3/18/15,2015,101199955.472019,271619025.407628
8,262500,110000000,295238201,Insurgent,Robert Schwentke,Mandeville Films,3/18/15,2015,101199955.472019,271619025.407628
9,262500,110000000,295238201,Insurgent,Robert Schwentke,Red Wagon Entertainment,3/18/15,2015,101199955.472019,271619025.407628
10,262500,110000000,295238201,Insurgent,Robert Schwentke,NeoReel,3/18/15,2015,101199955.472019,271619025.407628
11,140607,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,Lucasfilm,12/15/15,2015,183999919.040035,1902723129.80182
12,140607,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,Truenorth Productions,12/15/15,2015,183999919.040035,1902723129.80182
13,140607,200000000,2068178225,Star Wars: The Force Awakens,J.J. Abrams,Bad Robot,12/15/15,2015,183999919.040035,1902723129.80182
14,168259,190000000,1506249360,Furious 7,James Wan,Universal Pictures,4/1/15,2015,174799923.088033,1385748801.47052
15,168259,190000000,1506249360,Furious 7,James Wan,Original Film,4/1/15,2015,174799923.088033,1385748801.47052
16,168259,190000000,1506249360,Furious 7,James Wan,Media Rights Capital,4/1/15,2015,174799923.088033,1385748801.47052
17,168259,190000000,1506249360,Furious 7,James Wan,Dentsu,4/1/15,2015,174799923.088033,1385748801.47052
18,168259,190000000,1506249360,Furious 7,James Wan,One Race Films,4/1/15,2015,174799923.088033,1385748801.47052
19,281957,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Regency Enterprises,12/25/15,2015,124199945.352024,490314247.021731
20,281957,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Appian Way,12/25/15,2015,124199945.352024,490314247.021731
21,281957,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,CatchPlay,12/25/15,2015,124199945.352024,490314247.021731
22,281957,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Anonymous Content,12/25/15,2015,124199945.352024,490314247.021731
23,281957,135000000,532950503,The Revenant,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,New Regency Pictures,12/25/15,2015,124199945.352024,490314247.021731
24,87101,155000000,440603537,Terminator Genisys,Alan Taylor,Paramount Pictures,6/23/15,2015,142599937.256027,405355075.683766
